F3, FC5, AF3, F7, T7, P7, O1, O2, P8, T8, F8, AF4, FC6, F4
485.0, 531.0, 865.0, 155.0, 673.0, 421.0, -175.0, 513.0, -285.0, -234.0, -137.0, 304.0, 1024.0, 48.0

485.0, 542.0, 866.0, 166.0, 676.0, 414.0, -176.0, 511.0, -284.0, -233.0, -127.0, 312.0, 1032.0, 55.0

484.0, 531.0, 860.0, 166.0, 677.0, 430.0, -176.0, 508.0, -285.0, -233.0, -144.0, 304.0, 1021.0, 39.0

483.0, 537.0, 864.0, 169.0, 679.0, 422.0, -175.0, 503.0, -289.0, -241.0, -139.0, 303.0, 1023.0, 40.0

477.0, 532.0, 859.0, 161.0, 675.0, 426.0, -172.0, 510.0, -284.0, -238.0, -144.0, 296.0, 1017.0, 28.0

488.0, 534.0, 863.0, 165.0, 680.0, 424.0, -176.0, 502.0, -288.0, -240.0, -135.0, 306.0, 1029.0, 39.0

482.0, 528.0, 864.0, 173.0, 677.0, 421.0, -173.0, 508.0, -285.0, -236.0, -134.0, 308.0, 1027.0, 48.0

487.0, 545.0, 864.0, 171.0, 683.0, 422.0, -177.0, 504.0, -281.0, -238.0, -139.0, 309.0, 1025.0, 49.0

495.0, 530.0, 866.0, 166.0, 674.0, 425.0, -170.0, 498.0, -292.0, -249.0, -136.0, 300.0, 1023.0, 34.0

482.0, 530.0, 867.0, 162.0, 678.0, 419.0, -176.0, 499.0, -287.0, -236.0, -132.0, 303.0, 1029.0, 48.0

480.0, 529.0, 868.0, 162.0, 679.0, 427.0, -169.0, 506.0, -288.0, -244.0, -130.0, 301.0, 1028.0, 36.0

490.0, 548.0, 862.0, 174.0, 672.0, 419.0, -181.0, 514.0, -277.0, -231.0, -129.0, 321.0, 1036.0, 57.0

485.0, 523.0, 869.0, 164.0, 675.0, 420.0, -176.0, 510.0, -280.0, -241.0, -136.0, 307.0, 1023.0, 39.0

486.0, 533.0, 868.0, 165.0, 671.0, 419.0, -177.0, 505.0, -292.0, -245.0, -135.0, 300.0, 1026.0, 50.0

483.0, 532.0, 865.0, 171.0, 676.0, 427.0, -172.0, 507.0, -284.0, -240.0, -142.0, 296.0, 1026.0, 37.0

485.0, 535.0, 869.0, 172.0, 668.0, 416.0, -178.0, 505.0, -277.0, -239.0, -129.0, 311.0, 1030.0, 46.0

475.0, 523.0, 862.0, 158.0, 677.0, 423.0, -166.0, 512.0, -279.0, -235.0, -142.0, 292.0, 1020.0, 33.0

484.0, 535.0, 867.0, 160.0, 670.0, 425.0, -177.0, 501.0, -287.0, -239.0, -140.0, 303.0, 1025.0, 53.0

483.0, 530.0, 867.0, 166.0, 674.0, 415.0, -177.0, 508.0, -287.0, -240.0, -146.0, 297.0, 1023.0, 43.0

482.0, 525.0, 861.0, 155.0, 675.0, 428.0, -174.0, 510.0, -279.0, -242.0, -137.0, 293.0, 1031.0, 43.0

482.0, 533.0, 857.0, 163.0, 680.0, 422.0, -174.0, 514.0, -279.0, -231.0, -148.0, 293.0, 1015.0, 41.0

489.0, 537.0, 873.0, 167.0, 671.0, 421.0, -178.0, 493.0, -297.0, -252.0, -131.0, 299.0, 1024.0, 39.0

488.0, 532.0, 868.0, 162.0, 673.0, 419.0, -180.0, 507.0, -286.0, -241.0, -138.0, 301.0, 1030.0, 49.0

477.0, 534.0, 867.0, 166.0, 673.0, 432.0, -173.0, 513.0, -286.0, -234.0, -144.0, 300.0, 1020.0, 34.0

488.0, 523.0, 859.0, 176.0, 678.0, 422.0, -175.0, 507.0, -285.0, -232.0, -140.0, 310.0, 1026.0, 50.0

482.0, 539.0, 869.0, 178.0, 677.0, 422.0, -178.0, 500.0, -287.0, -233.0, -135.0, 316.0, 1031.0, 46.0

482.0, 534.0, 865.0, 159.0, 670.0, 423.0, -174.0, 495.0, -298.0, -252.0, -144.0, 299.0, 1022.0, 43.0

490.0, 535.0, 862.0, 164.0, 675.0, 422.0, -177.0, 505.0, -284.0, -240.0, -131.0, 299.0, 1026.0, 41.0

481.0, 536.0, 866.0, 168.0, 675.0, 423.0, -176.0, 499.0, -286.0, -241.0, -145.0, 308.0, 1030.0, 43.0

477.0, 531.0, 861.0, 156.0, 677.0, 425.0, -174.0, 508.0, -286.0, -242.0, -144.0, 297.0, 1018.0, 34.0

484.0, 529.0, 865.0, 161.0, 679.0, 427.0, -169.0, 515.0, -286.0, -237.0, -145.0, 304.0, 1024.0, 39.0

482.0, 534.0, 870.0, 169.0, 676.0, 417.0, -178.0, 504.0, -292.0, -246.0, -134.0, 299.0, 1035.0, 38.0

489.0, 539.0, 867.0, 168.0, 674.0, 423.0, -174.0, 507.0, -284.0, -242.0, -140.0, 311.0, 1028.0, 44.0

488.0, 538.0, 870.0, 168.0, 674.0, 425.0, -176.0, 504.0, -289.0, -235.0, -136.0, 304.0, 1029.0, 37.0

479.0, 521.0, 861.0, 158.0, 680.0, 422.0, -174.0, 505.0, -289.0, -240.0, -145.0, 294.0, 1023.0, 30.0

490.0, 535.0, 864.0, 172.0, 672.0, 415.0, -173.0, 509.0, -286.0, -235.0, -131.0, 311.0, 1033.0, 53.0

482.0, 536.0, 869.0, 163.0, 671.0, 421.0, -171.0, 506.0, -289.0, -246.0, -134.0, 304.0, 1026.0, 41.0

485.0, 533.0, 858.0, 163.0, 674.0, 420.0, -168.0, 502.0, -289.0, -244.0, -143.0, 301.0, 1029.0, 46.0

478.0, 529.0, 864.0, 162.0, 676.0, 424.0, -169.0, 499.0, -287.0, -239.0, -151.0, 299.0, 1023.0, 41.0

480.0, 530.0, 858.0, 159.0, 675.0, 424.0, -170.0, 508.0, -286.0, -235.0, -143.0, 290.0, 1023.0, 36.0

490.0, 537.0, 868.0, 167.0, 672.0, 413.0, -177.0, 515.0, -275.0, -228.0, -125.0, 311.0, 1037.0, 50.0

487.0, 538.0, 865.0, 175.0, 672.0, 425.0, -175.0, 512.0, -279.0, -242.0, -132.0, 316.0, 1034.0, 54.0

483.0, 538.0, 867.0, 164.0, 675.0, 424.0, -173.0, 503.0, -287.0, -238.0, -136.0, 300.0, 1027.0, 36.0

478.0, 535.0, 864.0, 161.0, 672.0, 425.0, -170.0, 498.0, -290.0, -240.0, -141.0, 296.0, 1023.0, 41.0

477.0, 529.0, 864.0, 161.0, 678.0, 422.0, -172.0, 506.0, -290.0, -233.0, -140.0, 296.0, 1019.0, 32.0

489.0, 538.0, 865.0, 172.0, 675.0, 420.0, -176.0, 516.0, -282.0, -230.0, -130.0, 303.0, 1028.0, 46.0

484.0, 543.0, 869.0, 166.0, 676.0, 425.0, -180.0, 513.0, -286.0, -240.0, -136.0, 313.0, 1024.0, 44.0

490.0, 536.0, 867.0, 172.0, 676.0, 423.0, -180.0, 504.0, -286.0, -236.0, -132.0, 306.0, 1024.0, 47.0

481.0, 538.0, 863.0, 163.0, 677.0, 424.0, -171.0, 498.0, -289.0, -244.0, -147.0, 303.0, 1022.0, 40.0

489.0, 534.0, 858.0, 167.0, 680.0, 424.0, -173.0, 508.0, -292.0, -239.0, -140.0, 306.0, 1029.0, 36.0
